Site Name,Site Type,Majority Waste Type,Licensed Tonnage,Tonnage Received 2016,Average Tonnage Received (2013-16),Difference,License Number,Operator,Facilities on site (if known)
Frizlands Lane Reuse & Recycling Centre,Waste transfer (household and commercial),HIC,80000,13813.28,24419.06,10605.78,80105,ELWA Ltd,Only one waste type managed (90%)
Chigwell Road Re-use & Recycling Centre,Household Reuse and Recycling Centres,HIC,28600,15280.57,20098.88,4818.31,80106,E L W A Ltd,Only one waste type managed (90%)
Barbers Road Facility,Other,HIC,150000,80475.37,51915.2,-28560.17,80107,Regional Waste Recycling ( Commercial) Limited,Multiple waste types managed
Barking Waste Transfer And Recycling Facility,Waste transfer (household and commercial),HIC,160250,119022.37,102960.16,-16062.21,80109,Biffa Waste Services Ltd,Only one waste type managed (90%)
"Alfreds Way, Barking",Metals and vehicle recycling,Inert,109500,14097.21,9885.99,-4211.22,80111,Creek Metals Limited,Only one waste type managed (90%)
"Remet Canning Town, Cody Road",Metals and vehicle recycling,Inert,74999,64603.76,41712.47,-22891.29,80115,The Remet Company Ltd,Multiple waste types managed
"Reuse Collections, Dagenham","Transfer and treatment (construction, demolition and excavation)",Inert,250000,0,42379.85,42379.85,80120,U R M ( U K ) Limited,Multiple waste types managed
"Mayer Parry, Bidder Street",Metals and vehicle recycling,HIC,150000,108475.95,87544.19,-20931.76,80125,Mayer Parry Recycling Ltd,Only one waste type managed (90%)
Ilford Recycling Centre,Household Reuse and Recycling Centres,HIC,24999,13477.1,13768.3,291.2,80126,E L W A Ltd,Only one waste type managed (90%)
Northumberland Wharf Transfer Station,Household Reuse and Recycling Centres,HIC,200460,3626.24,3496.01,-130.23,80133,Cory Environmental Limited,Only one waste type managed (90%)
J B Riney & Co Ltd,"Transfer and treatment (construction, demolition and excavation)",Inert,49999,37710,34773.75,-2936.25,80137,J B Riney & Co Ltd,Only one waste type managed (90%)
Malby Waste Disposal Ltd,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,9924.55,10142.22,217.67,80146,Dem'cy Contractors Ltd,Only one waste type managed (90%)
Bywaters (1986) Limited,Household Reuse and Recycling Centres,HIC,418285,66625.27,70600.88,3975.61,80147,Bywaters (1986) Limited,Multiple waste types managed
Kings Road Recycling Centre,Waste transfer (household and commercial),HIC,75000,2852.54,2078.09,-774.45,80155,Londonenergy Ltd,Only one waste type managed (90%)
"Donoghue, Claremont Rd","Transfer and treatment (construction, demolition and excavation)",Inert,113760,111225.88,113781.38,2555.5,80294,P B Donoghue (Haulage & Plant Hire) Ltd,Only one waste type managed (90%)
Enfield Community Recycling Centre,Household Reuse and Recycling Centres,HIC,74999,16922.67,14214.04,-2708.63,80296,Suez Recycling And Recovery U K Limited,Multiple waste types managed
Albert Works,Metals and vehicle recycling,HIC,349000,0,167167.3,167167.3,80298,Metal & Waste Recycling Limited,Multiple waste types managed
Garman Road,Waste transfer (household and commercial),HIC,86925,37453.81,34050.77,-3403.04,80300,Biffa Waste Services Ltd,Only one waste type managed (90%)
26/27 Claremont Way Ind Est,Waste transfer (household and commercial),HIC,91000,60139,53932.25,-6206.75,80308,Mc Govern Haulage Ltd,Only one waste type managed (90%)
"Oakwood Plant Ltd, Edmonton","Transfer and treatment (construction, demolition and excavation)",Inert,40000,14428.3,11355.94,-3072.36,80316,Oakwood Plant Ltd,Only one waste type managed (90%)
"O' Donovan, Tottenham","Transfer and treatment (construction, demolition and excavation)",Inert,166920,123308,54029.13,-69278.87,80317,O' Donovan ( Waste Disposal ) Ltd,Only one waste type managed (90%)
A M I Waste,"Transfer and treatment (construction, demolition and excavation)",Inert,111600,21974,25146.73,3172.73,80319,Tuglord Enterprises Ltd,Only one waste type managed (90%)
Pressbay Ltd,Metals and vehicle recycling,HIC,74999,37.21,38.69,1.48,80325,Pressbay Ltd,Only one waste type managed (90%)
"Rooke & Co Ltd, Edmonton",Metals and vehicle recycling,HIC,75000,3896.94,20523.46,16626.52,80326,End of Life Vehicle Ltd,Multiple waste types managed
Enfield Waste Management Facility,"Transfer and treatment (construction, demolition and excavation)",Inert,391280,49754.2,33939.82,-15814.38,80328,Powerday Plc,Multiple waste types managed
"Winters Haulage, Oakleigh Road South","Transfer and treatment (construction, demolition and excavation)",Inert,74999,0,28572.75,28572.75,80331,Winters Haulage Ltd,Multiple waste types managed
Hendon Waste Transfer Station,Waste transfer (household and commercial),HIC,375600,142107.43,137324.62,-4782.81,80334,Londonenergy Ltd,Only one waste type managed (90%)
Chase Farm Clinical Waste Treatment Facility,Other,Haz,75000,0,1594.38,1594.38,80350,Tradebe Healthcare National Limited,Multiple waste types managed
Camden Plant,Other,Haz,112112,206806,224407.5,17601.5,80355,Camden Plant Ltd,Only one waste type managed (90%)
"Cory, Walbrook Wharf",Waste transfer (household and commercial),HIC,171080,54670.01,54438.4,-231.61,80359,Cory Environmental Ltd,Only one waste type managed (90%)
"L & B Haulage, Neasden","Transfer and treatment (construction, demolition and excavation)",Inert,116250,5400,4578.75,-821.25,80361,L & B Haulage & Civil Engineering Contractors Ltd,Only one waste type managed (90%)
"Mayer Parry, Brentford",Metals and vehicle recycling,HIC,74999,67094.69,57493.58,-9601.11,80370,Mayer Parry Recycling Ltd,Only one waste type managed (90%)
Willesden Depot,Metals and vehicle recycling,HIC,419000,156576.65,136115.23,-20461.42,80371,European Metal Recycling Limited,Multiple waste types managed
Albright Transfer Station,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,68563.26,56832.94,-11730.32,80378,Albright Transfer Station Limited,Only one waste type managed (90%)
Brent Transfer Station,Waste transfer (household and commercial),HIC,364000,30972.89,99959.4,68986.51,80379,Veolia E S ( U K ) Limited,Only one waste type managed (90%)
O'donovan - Markfield Road,"Transfer and treatment (construction, demolition and excavation)",Inert,24000,14693.44,11535.65,-3157.79,80413,O' Donovan ( Waste Disposal ) Ltd,Only one waste type managed (90%)
Civic Amenity Site,Household Reuse and Recycling Centres,HIC,74999,7202.92,5931.45,-1271.47,80514,Londonenergy Ltd,Only one waste type managed (90%)
I O D Skip Hire Ltd,"Transfer and treatment (construction, demolition and excavation)",Inert,350000,53307.66,66056.37,12748.71,80515,IOD Skip Hire Ltd,Multiple waste types managed
South Hall Farm,Disposal,Inert,260000,0,4531.5,4531.5,80524,Havering Aggregates Limited,Multiple waste types managed
Docklands Wharf Transfer Station,"Transfer and treatment (construction, demolition and excavation)",Inert,414700,66444.4,66379.61,-64.79,80525,Multi Services Kent Limited,Only one waste type managed (90%)
Space Waye Civic Amenity Site,Household Reuse and Recycling Centres,HIC,82000,16179.58,16128.71,-50.87,80527,Hounslow London Borough Council,Only one waste type managed (90%)
Mc Grath Bros ( Waste Control),"Transfer and treatment (construction, demolition and excavation)",Inert,480000,312023.2,246932.8,-65090.4,80535,Mc Grath Brothers ( Waste Control) Ltd,Multiple waste types managed
Car Spares Of West Drayton Limited,Metals and vehicle recycling,HIC,24999,0,8689.13,8689.13,80537,Car Spares Of West Drayton Limited,Multiple waste types managed
Civic Amenity & Waste Recycling Centre,Household Reuse and Recycling Centres,HIC,75000,18237.26,15597.22,-2640.04,80548,Londonenergy Ltd,Only one waste type managed (90%)
Kershire West Ruislip,Waste transfer (household and commercial),Inert,24700,0,2084.16,2084.16,80550,Kershire Ltd,Multiple waste types managed
"Jute Lane, Brimsdown","Transfer and treatment (construction, demolition and excavation)",Inert,74999,15410.34,12481.59,-2928.75,80555,Greater London Waste Disposal Ltd,Only one waste type managed (90%)
Wembley Transfer Station & Recycling Facility,Waste transfer (household and commercial),HIC,150000,101499.64,93551.18,-7948.46,80557,Biffa Waste Services Ltd,Only one waste type managed (90%)
Holloway Lane Materials Recycling Facility,"Transfer and treatment (construction, demolition and excavation)",HIC,149999,92612.16,98059.72,5447.56,80564,Iver Recycling ( U K) Limited,Only one waste type managed (90%)
British Rail Goods Yard,"Transfer and treatment (construction, demolition and excavation)",Inert,150000,0,7044.5,7044.5,80571,Iver Recycling ( U K) Ltd,Multiple waste types managed
Barking Transfer Station,Waste transfer (household and commercial),HIC,182500,169155.12,109449.8,-59705.32,80572,Shukco 347 Ltd,Only one waste type managed (90%)
Hornsey Street Re-use & Recycling Centre,Household Reuse and Recycling Centres,HIC,24999,7202.23,6113.56,-1088.67,80576,Londonenergy Ltd,Only one waste type managed (90%)
Hornsey Street Waste & Recycling Centre,Waste transfer (household and commercial),HIC,401500,205029.62,197802.6,-7227.02,80577,Londonenergy Ltd,Only one waste type managed (90%)
75 - 77 Chequers Lane,"Transfer and treatment (construction, demolition and excavation)",Inert,170256,32082.6,27903.9,-4178.7,80583,R White Waste Management Ltd,Only one waste type managed (90%)
X - Bert Haulage,"Transfer and treatment (construction, demolition and excavation)",Inert,382500,103035,99779.75,-3255.25,80588,X - Bert Haulage Limited,Only one waste type managed (90%)
Sipson North East Inert Landfill,Disposal (inert),Inert,1869000,343785,269657.25,-74127.75,80594,Henry Streeter ( Sand & Ballast ) Ltd,Only one waste type managed (90%)
Quattro Park Royal,"Transfer and treatment (construction, demolition and excavation)",Inert,438000,82304.49,103320.63,21016.14,80595,Quattro ( U K ) Ltd,Only one waste type managed (90%)
London Auto Parts Limited,Metals and vehicle recycling,Haz,24999,12614,12848.75,234.75,80603,London Auto Parts Ltd,Multiple waste types managed
White Hart Lane,Metals and vehicle recycling,Haz,74999,0,13773.25,13773.25,80607,Redcorn Ltd,Multiple waste types managed
McGrath Bros ( Waste Control ) Ltd,"Transfer and treatment (construction, demolition and excavation)",Inert,605900,66427.7,59863.14,-6564.56,80614,McGrath Bros ( Waste Control ) Ltd,Multiple waste types managed
Stone Terminal,"Transfer and treatment (construction, demolition and excavation)",Inert,140000,70959.33,59073.63,-11885.7,80617,Aggregate Industries U K Ltd,Only one waste type managed (90%)
Van Dalen Dagenham,Other,HIC,150000,0,60524.09,60524.09,80620,Van Dalen U K Ltd,Multiple waste types managed
Kilnbridge Construction Services Ltd,"Transfer and treatment (construction, demolition and excavation)",Inert,100310,40453.81,46941.98,6488.17,80625,Kilnbridge Construction Services Ltd,Only one waste type managed (90%)
Crows Nest Farm,Organic treatment,HIC,24900,6650.66,7889.44,1238.78,80676,Country Compost Ltd,Only one waste type managed (90%)
Jenkins Lane Waste Management Facility,Household Reuse and Recycling Centres,HIC,110000,28147.85,36170.04,8022.19,80679,E L W A Ltd,Only one waste type managed (90%)
Rainham Quarry,Waste transfer (household and commercial),Inert,70000,0,2598.25,2598.25,80682,Havering Aggregates Limited,Multiple waste types managed
Bulk Waste Recycling Facility,Waste transfer (household and commercial),HIC,730000,198389.04,178517.68,-19871.36,80689,Londonenergy Ltd,Only one waste type managed (90%)
G B N Services,"Transfer and treatment (construction, demolition and excavation)",Inert,75000,70408,52493.5,-17914.5,80690,G B N Services Ltd,Only one waste type managed (90%)
Rainham M R F,Materials recycling and sorting,HIC,682440,137027.87,98258.38,-38769.49,80704,Veolia E S Cleanaway ( U K ) Ltd,Only one waste type managed (90%)
Compost Plant,Organic treatment,HIC,45000,16609.78,29276.28,12666.5,80714,LondonWaste Ltd,Only one waste type managed (90%)
Crews Hill Transfer Station,"Transfer and treatment (construction, demolition and excavation)",Inert,20000,18427,18572.25,145.25,80716,Enfield Skips Ltd,Only one waste type managed (90%)
Gowing And Pursey,"Transfer and treatment (construction, demolition and excavation)",Inert,243600,172170.17,123797.36,-48372.81,80719,B & K Environmental Services Limited,Only one waste type managed (90%)
Hornsey Road Civic Amenity Site,Household Reuse and Recycling Centres,HIC,152400,0,1276.96,1276.96,80721,LondonWaste Ltd,Multiple waste types managed
Powerday Waste Recycling & Recovery Centre,Other,HIC,1600000,0,46093.52,46093.52,80723,Powerday P L C,Multiple waste types managed
Quattro - Brentford,"Transfer and treatment (construction, demolition and excavation)",Inert,912000,87452.5,84254.68,-3197.82,80724,Quattro ( U K ) Ltd,Only one waste type managed (90%)
Leyton Reuse & Recycling Centre,Household Reuse and Recycling Centres,HIC,282624,2588.9,2602.7,13.8,80728,Waltham Forest London Borough Council,Multiple waste types managed
Plot 24,Waste transfer (household and commercial),Inert,25000,0,3042.22,3042.22,80730,Fowles Crushed Concrete Ltd,Multiple waste types managed
Ecotech London Limited,Waste transfer (household and commercial),HIC,75000,3980.14,8298.94,4318.8,80734,Ecotech London Ltd,Only one waste type managed (90%)
Fowles Crushed Concrete Limited,"Transfer and treatment (construction, demolition and excavation)",Inert,182500,0,31815.18,31815.18,80741,Fowles Crushed Concrete Ltd,Multiple waste types managed
Mitre Works,Metals and vehicle recycling,HIC,83600,16104.31,21571.56,5467.25,80743,Metal And Waste Recycling Limited,Multiple waste types managed
Bywaters Recycling And Recovery Centre,Waste transfer (household and commercial),HIC,650000,158582.48,148689.45,-9893.03,80744,Bywaters ( Leyton ) Ltd,Multiple waste types managed
Cripps Skips,"Transfer and treatment (construction, demolition and excavation)",Inert,25000,8910,8711,-199,80746,Ground Waste Recycling Limited,Multiple waste types managed
G B N Services Ltd,"Transfer and treatment (construction, demolition and excavation)",Inert,75000,10746,25353.5,14607.5,80755,G B N Services Ltd,Multiple waste types managed
Argall Metal Recycling Ltd,Metals and vehicle recycling,HIC,75000,0,20879.39,20879.39,80756,Argall Metal Recycling Ltd,Multiple waste types managed
Materials Recovery Facility,Materials recycling and sorting,HIC,75000,418.05,22820.55,22402.5,80759,Veolia E S ( U K ) Limited,Only one waste type managed (90%)
Edwards Waste Recycling - Barking,Waste transfer (household and commercial),HIC,74999,79890,75939.5,-3950.5,80765,Edwards Waste Paper Ltd,Only one waste type managed (90%)
Veolia Inert Soils Coldharbour Lane,"Transfer and treatment (construction, demolition and excavation)",Inert,400000,112673.31,113168.32,495.01,80768,Veolia E S Landfill Ltd,Only one waste type managed (90%)
Centenary Works,Other,HIC,75000,22211,26979.75,4768.75,80771,F. J. Church & Sons Limited,Only one waste type managed (90%)
"Hunt Skips, Commercial Road, Edmonton",Waste transfer (household and commercial),Inert,25000,8719,12599.5,3880.5,80772,Hunt Christopher Joseph Thomas,Multiple waste types managed
"G & B Compressor Hire, Dock Road","Transfer and treatment (construction, demolition and excavation)",Inert,75000,57860,54017.5,-3842.5,80780,G & B Compressor Hire Ltd,Multiple waste types managed
"Brewsters, Dock Road","Transfer and treatment (construction, demolition and excavation)",Inert,275000,89588,43346,-46242,80781,Brewsters Waste Management Ltd,Multiple waste types managed
"Docklands Waste Recycling, Dock Road",Waste transfer (household and commercial),HIC,93600,51377.2,60177.16,8799.96,80784,Docklands Waste Recycling Ltd,Multiple waste types managed
High View Farm,Organic treatment,HIC,75000,4992,44590.16,39598.16,80785,West London Composting Limited,Only one waste type managed (90%)
Millfields Waste Transfer & Recycling Facility,Waste transfer (household and commercial),HIC,50000,16725,15404.52,-1320.48,80789,The Mayor And Burgesses Of The London Borough Of Hackney,Only one waste type managed (90%)
Factory Lane Special Waste Transfer Station,Waste transfer (household and commercial),HIC,200000,19736,16400.96,-3335.04,83163,Veolia E S ( U K) Limited,Multiple waste types managed
Fishers Farm,Household Reuse and Recycling Centres,HIC,15125,6895.02,6241.95,-653.07,83164,Veolia E S ( U K) Limited,Multiple waste types managed
"Sam Smith, Peartree Fm, Addington, Cr0",Waste transfer (household and commercial),HIC,37500,59282.3,45121.72,-14160.58,83171,Mr Samuel Smith,Multiple waste types managed
Kingston Waste Transfer Station,Waste transfer (household and commercial),HIC,200500,66473.17,66030.08,-443.09,83181,Viridor Waste Management Ltd,Only one waste type managed (90%)
Mitcham Transfer Station,Waste transfer (household and commercial),HIC,275000,190320.16,253336.03,63015.87,83184,Shukco 347 Ltd,Only one waste type managed (90%)
Garth Road Transfer Station,Waste transfer (household and commercial),HIC,22281,13628.43,10913.94,-2714.49,83185,Veolia E S ( U K) Limited,Only one waste type managed (90%)
Townmead Civic Amenity Site,Household Reuse and Recycling Centres,HIC,75000,17776.19,19371.66,1595.47,83209,Richmond Upon Thames London Borough Council,Only one waste type managed (90%)
Croydon Transfer Station,Waste transfer (household and commercial),HIC,75000,19529.32,9637.07,-9892.25,83214,Veolia E S Cleanaway ( U K ) Ltd,Only one waste type managed (90%)
Metropolitan Waste Management Ltd,Waste transfer (household and commercial),HIC,262600,0,47825.18,47825.18,83228,Metropolitan Waste Management Ltd,Multiple waste types managed
European Metal Recycling,Metals and vehicle recycling,HIC,276960,110988.38,108469.1,-2519.28,83229,European Metal Recycling Ltd,Only one waste type managed (90%)
Albion Yard,Metals and vehicle recycling,Haz,15500,8225.54,8519.01,293.47,83233,Vinton Metals Ltd,Only one waste type managed (90%)
Churchfields Transfer Station,Waste transfer (household and commercial),HIC,75000,21178.67,18705.11,-2473.56,83235,Veolia E S ( U K ) Ltd,Only one waste type managed (90%)
Waldo Road Waste Transfer Station,Waste transfer (household and commercial),HIC,187200,128972.86,127924.09,-1048.77,83236,Veolia E S ( U K ) Ltd,Only one waste type managed (90%)
Toulouse Plant Hire Ltd,"Transfer and treatment (construction, demolition and excavation)",Inert,75000,75445.66,72303.39,-3142.27,83248,Toulouse Plant Hire Ltd,Only one waste type managed (90%)
Vale Street Civic Amenity Centre,Household Reuse and Recycling Centres,HIC,75000,2309.45,2198.32,-111.13,83253,London Borough of Lambeth,Only one waste type managed (90%)
Belinda Road ( Brixton) Waste Transfer Facility,"Transfer and treatment (construction, demolition and excavation)",Inert,75000,35838,35998.79,160.79,83255,Powerday Plc,Only one waste type managed (90%)
"C & G Demolition & Site Clearance Ltd, Mercury Way, Se14","Transfer and treatment (construction, demolition and excavation)",Inert,42900,31735.54,27963.3,-3772.24,83257,C & G Demolition & Site Clearance Ltd,Only one waste type managed (90%)
"Economic Skips Ltd, Mercury Way, Se14","Transfer and treatment (construction, demolition and excavation)",Inert,135460,44319.62,39969.52,-4350.1,83258,Economic Skips Ltd,Only one waste type managed (90%)
Cringle Dock Ts,Waste transfer (household and commercial),HIC,300000,307049.24,273300.08,-33749.16,83275,Cory Environmental Ltd,Only one waste type managed (90%)
"W Riverside S W T S , Smugglers Way, Sw18",Waste transfer (household and commercial),HIC,893637,219846.42,219853.66,7.24,83283,Cory Environmental Ltd,Only one waste type managed (90%)
Purley Oaks Depot,"Transfer and treatment (construction, demolition and excavation)",Inert,24700,0,6154.49,6154.49,83306,Kier Highways Limited,Multiple waste types managed
"Therapia Lane, Croydon, Cr0",Metals and vehicle recycling,HIC,74999,0,21423.04,21423.04,83314,European Metal Recycling Ltd,Multiple waste types managed
Latham Recycling Centre Ltd,Waste transfer (household and commercial),HIC,110000,36330.74,37542.66,1211.92,83321,Lathams Recycling Centre Limited,Only one waste type managed (90%)
Brixton Transfer Station,Waste transfer (household and commercial),HIC,87750,17258.05,17131.55,-126.5,83343,Shukco 347 Ltd,Multiple waste types managed
"Lewisham Recycling & Waste Reception Centre, Landmann Way",Household Reuse and Recycling Centres,HIC,24999,5787.87,5421.13,-366.74,83355,London Borough of Lewisham,Only one waste type managed (90%)
Deptford Recycling Centre,Waste transfer (household and commercial),HIC,200000,146517.22,123159.86,-23357.36,83378,Hinkcroft Transport Ltd,Multiple waste types managed
Wandsworth Transfer Station,"Transfer and treatment (construction, demolition and excavation)",Inert,75000,20731.3,20716.18,-15.12,83393,Shukco 347 Ltd,Only one waste type managed (90%)
Viridor Recycling Centre,Waste transfer (household and commercial),HIC,240000,78781.3,91923.38,13142.08,83441,Viridor Waste ( Thames ) Ltd,Only one waste type managed (90%)
32 Willow Lane,Waste transfer (household and commercial),Inert,22550,19146,15090.24,-4055.76,83456,L M D Waste Management Ltd,Only one waste type managed (90%)
Crayfords Materials Recycliing Facility,Materials recycling and sorting,HIC,350000,310768.26,328257.42,17489.16,83464,Viridor Waste Management Ltd,Only one waste type managed (90%)
777 Recycling Centre Ltd,"Transfer and treatment (construction, demolition and excavation)",Inert,372600,28040.69,39768.33,11727.64,83473,777 Recycling Centre Ltd,Multiple waste types managed
Ilderton Waste,"Transfer and treatment (construction, demolition and excavation)",Inert,49000,17907,11065.21,-6841.79,83475,Ilderton Waste,Only one waste type managed (90%)
B Nebbett & Son Limited,Metals and vehicle recycling,HIC,109500,64374.78,52502.04,-11872.74,83476,European Metal Recycling Limited,Multiple waste types managed
Land At Unit 1,Metals and vehicle recycling,Haz,24999,0,512.5,512.5,83482,Pick A Part Ltd,Multiple waste types managed
E M R Wandsworth,Metals and vehicle recycling,HIC,81000,69244.16,56086.38,-13157.78,83490,European Metal Recycling Ltd,Only one waste type managed (90%)
Greenwich Intergrated Waste Management Facility,Waste transfer (household and commercial),HIC,411000,44183.91,56429.37,12245.46,83498,Veolia E S Cleanaway ( U K ) Ltd,Only one waste type managed (90%)
Greenwich Transfer Station,Waste transfer (household and commercial),HIC,311000,0,24863.33,24863.33,83511,Peter Norris ( Haulage) Limited,Multiple waste types managed
Day Aggregates,"Transfer and treatment (construction, demolition and excavation)",Inert,649999,44038,168756.75,124718.75,83515,Day Group Limited,Multiple waste types managed
Mobile Plant S R 2008 No 27,Other,HIC,999999,58662.88,28194.27,-30468.61,83523,Erith Remediation Technologies Limited,Only one waste type managed (90%)
Bromley Civic Amenity Site,Household Reuse and Recycling Centres,HIC,25000,15433.52,16789.21,1355.69,83528,Veolia E S ( U K ) Ltd,Only one waste type managed (90%)
Morden Transfer Station,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,39950.14,35167.67,-4782.47,83568,Suez Recycling And Recovery U K Ltd,Multiple waste types managed
Rainham Eazystore Ltd,Materials recycling and sorting,Haz,74999,0.26,0.16,-0.1,102861,Rainham Eazystore Limited,Only one waste type managed (90%)
Kimpton Park Way H R R C,Household Reuse and Recycling Centres,HIC,24999,13912.36,12963.74,-948.62,83617,Veolia E S ( U K) Limited,Multiple waste types managed
Wandsworth Road Goods Yard,Waste transfer (household and commercial),HIC,182000,6979.26,2565.53,-4413.73,83668,Cory Environmental Ltd,Only one waste type managed (90%)
Brentford Service Centre,Waste transfer (household and commercial),HIC,25000,2887.79,2317.36,-570.43,100044,Rentokil Initial U K Limited,Multiple waste types managed
80 River Road,"Transfer and treatment (construction, demolition and excavation)",Inert,25000,22146.5,21012.6,-1133.9,100076,Clearun Recycling Limited,Only one waste type managed (90%)
Rainham Jetty Transfer Station,"Transfer and treatment (construction, demolition and excavation)",Inert,234000,20765.31,43506.36,22741.05,100154,Veolia E S Cleanaway ( U K ) Ltd,Only one waste type managed (90%)
Ace Waste - Neasden Goods Yard,"Transfer and treatment (construction, demolition and excavation)",Inert,80000,62006,55470.25,-6535.75,100180,Ace Waste Haulage Ltd,Only one waste type managed (90%)
O' Doherty - Pegamoid,"Transfer and treatment (construction, demolition and excavation)",Inert,325000,88636,74990.5,-13645.5,100204,J O Doherty Haulage Limited,Only one waste type managed (90%)
Marshgate Sidings,"Transfer and treatment (construction, demolition and excavation)",Inert,700000,257436.94,192567.56,-64869.38,100245,D B Schenker Rail ( U K) Limited,Only one waste type managed (90%)
Feathers Wharf Transfer Station,Waste transfer (household and commercial),HIC,75000,0,2602.89,2602.89,100308,Western Riverside Waste Authority,Multiple waste types managed
Hep Oils,Materials recycling and sorting,HIC,25000,5360.33,3873.18,-1487.15,100312,Hep Oils Limited,Only one waste type managed (90%)
Edmonton ( Atlas) M R F,Materials recycling and sorting,HIC,500000,270105.96,257502.28,-12603.68,100373,Biffa G S Environmental Limited,Only one waste type managed (90%)
Yard 10 - 12 Hastingwood Trading Est,"Transfer and treatment (construction, demolition and excavation)",Inert,25000,10695.52,11247.98,552.46,100468,A & A Skip Hire Limited,Only one waste type managed (90%)
Garth Road Civic Amenity Site,Household Reuse and Recycling Centres,HIC,25000,14593.99,12245.04,-2348.95,100632,Veolia E S ( U K ) Limited,Multiple waste types managed
Kingston Civic Amenity Site,Household Reuse and Recycling Centres,HIC,25000,13437.07,13632.47,195.4,100634,Veolia E S ( U K ) Limited,Multiple waste types managed
Stubbs Mead Depot,Waste transfer (household and commercial),HIC,75000,0,13849.72,13849.72,100651,Veolia E S Cleanaway ( U K ) Ltd,Multiple waste types managed
