location,lat,lng
J & H Haulage Ltd,51.4807609,0.2121502
Westminster Waste Limited,51.4938166,0.0324272
Keltbray Environmental Ltd,51.5054582,0.0130546
Keltbray Environmental Ltd,51.5054582,0.0130546
Corbyn Construction Ltd,51.5067992,0.0731278
Clearun Recycling Limited,51.5152016,0.1043054
Iver Recycling ( U K) Ltd,51.5201939,-0.509572
Iver Recycling ( U K) Limited,51.5201939,-0.509572
Quattro ( U K ) Limited,51.5244021,-0.2568603
Quattro ( U K ) Ltd,51.5244021,-0.2568603
Powerday Plc,51.5307535,-0.2450691
Powerday Plc,51.5307535,-0.2450691
The Mayor And Burgesses Of The London Borough Of Hackney,51.5517953,-0.0646437
H A W K Rubbish Clearance Limited,51.5572669,-0.2733469
Bywaters ( Leyton ) Ltd,51.5588894,-0.0144918
S Walsh And Son Limited,51.5789321,0.3583557
West London Composting Limited,51.5814964,-0.453985
West London Composting Limited,51.5814964,-0.453985
N R M Metal Recycling Limited,51.60609,0.121127
Redcorn Ltd,51.60792,-0.0557191
Redcorn Ltd,51.60792,-0.0557191
Londonenergy Ltd,51.6127769,-0.0415581
Londonenergy Ltd,51.6127769,-0.0415581
Londonenergy Ltd,51.6127769,-0.0415581
Londonenergy Ltd,51.6127769,-0.0415581
Camden Plant Ltd,51.6138484,-0.0357154
Ingrebourne Valley Ltd,51.7593616,0.1541316
Ingrebourne Valley Limited,51.7593616,0.1541316
Hunsdon Skip Hire Ltd,51.8072773,0.0434171
Viridor Waste Management Ltd,51.9153919,0.2384876
Viridor Waste Management Ltd,51.9153919,0.2384876
Hydrock Contracting Limited,52.3687929,-1.7996823
Veolia E S ( U K) Limited,52.5306627,-1.4045218
Veolia E S ( U K) Limited,52.5306627,-1.4045218
Veolia E S ( U K) Limited,52.5306627,-1.4045218
Veolia E S Cleanaway ( U K ) Ltd,52.5306627,-1.4045218
Veolia E S ( U K ) Limited,52.5306627,-1.4045218
Veolia E S ( U K ) Limited,52.5306627,-1.4045218
Veolia E S ( U K ) Limited,52.5306627,-1.4045218
G B Railfreight Limited,52.5920416,-0.2561626
Biffa Waste Services Ltd,52.6842088,-2.0117235
Biffa Waste Services Ltd,52.6842088,-2.0117235
Biffa Waste Services Ltd,52.6842088,-2.0117235
Rentokil Initial U K Limited,53.4813544,-2.8593693
Hanson Quarry Products Europe Ltd,54.6657993,-2.7675689
Veolia ES Cleanaway (UK) Limited,55.378051,-3.435973
D B Schenker Rail ( U K) Limited,55.378051,-3.435973
Balfour Beatty Civil Engineering Limited,57.1676512,-2.1540262
Suez Recycling And Recovery U K Limited,57.1812198,-2.1772797
Euro Waste Barking Limited,N/AN/A,
Shukco 347 Ltd,N/AN/A,
Space Rubbish Limited,N/AN/A,
LondonWaste Ltd,N/AN/A,
Adler & Allan Limited,N/AN/A,
Raven Waste Paper Company Ltd,N/AN/A,
U K And European Construction Limited,N/AN/A,
M & R Building & Landscaping Ltd,N/AN/A,
Bally Skips Limited,N/AN/A,
Shukco 347 Ltd,N/AN/A,
The Wet Waste Company Limited,N/AN/A,
Plasrecycle Limited,N/AN/A,
Bridgemarts Limited,N/AN/A,
G & S Waste Management Limited,N/AN/A,
Laing O Rourke Infrastructure Limited,N/AN/A,
Bywaters (1986) Limited,N/AN/A,
Albright Transfer Station Limited,N/AN/A,
X - Bert Haulage Limited,N/AN/A,
F. J. Church & Sons Limited,N/AN/A,
G & B Compressor Hire Ltd,N/AN/A,
Seneca Environmental Solutions Ltd,N/AN/A,
"Mr George Dugdale, Mr Mark Dugdale And Mr Steven Dugdale",N/AN/A,
P M Highway Ltd,N/AN/A,
